Date,cve_station,cve_parameter,value,unit,nom_estac,longitud,latitud,alt,obs_estac,id_station
20/05/2005,MER,PM2.5,27,2,Merced,-99.119594,19.42461,2245.0,,484090170127
26/05/2005,MER,PM2.5,34,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/06/2005,MER,PM2.5,31,2,Merced,-99.119594,19.42461,2245.0,,484090170127
07/06/2005,MER,PM2.5,32,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/06/2005,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/06/2005,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/06/2005,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
01/07/2005,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
13/07/2005,MER,PM2.5,9,2,Merced,-99.119594,19.42461,2245.0,,484090170127
19/07/2005,MER,PM2.5,21,2,Merced,-99.119594,19.42461,2245.0,,484090170127
25/07/2005,MER,PM2.5,11,2,Merced,-99.119594,19.42461,2245.0,,484090170127
31/07/2005,MER,PM2.5,19,2,Merced,-99.119594,19.42461,2245.0,,484090170127
06/08/2005,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
12/08/2005,MER,PM2.5,22,2,Merced,-99.119594,19.42461,2245.0,,484090170127
24/08/2005,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
30/08/2005,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/09/2005,MER,PM2.5,9,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/09/2005,MER,PM2.5,25,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/09/2005,MER,PM2.5,12,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/09/2005,MER,PM2.5,28,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/09/2005,MER,PM2.5,20,2,Merced,-99.119594,19.42461,2245.0,,484090170127
05/10/2005,MER,PM2.5,6,2,Merced,-99.119594,19.42461,2245.0,,484090170127
11/10/2005,MER,PM2.5,23,2,Merced,-99.119594,19.42461,2245.0,,484090170127
17/10/2005,MER,PM2.5,15,2,Merced,-99.119594,19.42461,2245.0,,484090170127
23/10/2005,MER,PM2.5,18,2,Merced,-99.119594,19.42461,2245.0,,484090170127
29/10/2005,MER,PM2.5,14,2,Merced,-99.119594,19.42461,2245.0,,484090170127
04/11/2005,MER,PM2.5,28,2,Merced,-99.119594,19.42461,2245.0,,484090170127
10/11/2005,MER,PM2.5,17,2,Merced,-99.119594,19.42461,2245.0,,484090170127
